CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
15004,12,11,1,2,57,84.0562210083008,6.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,0,1,19590.0234375,12847.8955078125,1,3,19590.0234375,01
15004,27,11,1,1,63,84.0562210083008,5.0,0,0,1.0,1.0,1.0,0,1,1.0,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,01
15004,27,11,2,2,60,84.0562210083008,4.0,1,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,01
15004,27,11,3,2,29,84.0562210083008,10.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,01
15004,27,11,4,1,0,84.0562210083008,,0,0,,,,0,0,,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,01
15004,42,11,1,2,49,84.0562210083008,5.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,53241.875,31593.697265625,3,3,17747.291666666668,01
15004,42,11,2,1,28,84.0562210083008,8.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,53241.875,31593.697265625,3,3,17747.291666666668,01
15004,42,11,3,2,24,84.0562210083008,8.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,53241.875,31593.697265625,3,3,17747.291666666668,01
15004,58,11,1,2,44,84.0562210083008,6.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,0,0,16122.435546875,28206.40234375,3,3,5374.145182291667,01
15004,58,11,2,2,11,84.0562210083008,3.0,0,0,,,,0,0,,10101,4,4,0,0,16122.435546875,28206.40234375,3,3,5374.145182291667,01
15004,58,11,3,1,3,84.0562210083008,1.0,0,0,,,,0,0,,10101,4,4,0,0,16122.435546875,28206.40234375,3,3,5374.145182291667,01
15004,105,11,1,2,61,84.0562210083008,6.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,15662.5615234375,23768.3515625,1,3,15662.5615234375,01
15004,134,11,1,2,66,84.0562210083008,8.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,01
15004,134,11,2,2,41,84.0562210083008,6.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,01
